workload,L1-I TLB MPKI,L1-D TLB MKPI,L2 TLB MPKI
bc,4.400001689600649e-05,11.945702587149793,11.205160302781556
bfs,3.2000000640000014e-05,76.03436952068739,71.5742254314845
cc,4.80000075840012e-05,91.7372424944843,85.98454758555852
dlrm,3.2000000640000014e-05,76.10868952217379,71.89159743783195
gc,5.400001620000486e-05,74.5008483502545,63.263902979170894
gen,5.400001620000486e-05,74.49856034956811,63.25543297662989
pr,3.200000832000216e-05,42.142404957025285,38.593108034208086
rnd,2.0000007360002707e-06,81.37544394616337,71.10715016743126
sssp,2.8000011536004753e-05,68.17624208861174,66.19715927322963
tc,4.000000176000007e-06,7.0640903108199735,6.783948298493725
xs,5.600001870400625e-05,16.458491497136162,14.752932927479598
