workload,Data Blocks,PTE Blocks,TLB Blocks
bc,0.0,30.3309995852391,69.6690004147609
bfs,0.0,8.745089323063361,91.25491067693663
cc,0.0,8.81070938306503,91.18929061693497
dlrm,0.0,8.671386300814287,91.32861369918572
gc,0.0008778075320792622,25.665781531701874,74.33334066076603
gen,0.0009041164045474435,25.52027224760841,74.47882363598704
pr,0.0,4.187532639491708,95.8124673605083
rnd,0.019267822736030834,0.4238921001926782,99.5568400770713
sssp,0.0,26.862822648114534,73.13717735188544
tc,0.0,4.0226428816166315,95.97735711838337
xs,0.0,5.940686457943138,94.05931354205687
MEAN,0.001913613333877958,13.561983190804614,86.4361031958615
