workload,Victima No prefetcher,Victima Streamer,Vitima IP Stride,Victima Next Line
bc,9.4592,9.670676,9.472066,11.319098
bfs,35.80445,36.242628,35.935044,37.9964
cc,43.942614,44.192784,43.996996,45.5461
dlrm,35.765286,36.238904,35.922364,37.896178
gc,43.503304,43.693892,43.549066,49.892058
gen,43.501104,43.679936,43.559204,49.881632
pr,17.801022,17.911134,17.813906,19.00328
rnd,5.744934,5.748258,5.746276,24.605954
sssp,58.113274,58.187892,58.067172,61.40693
tc,3.881736,4.31853,4.008846,5.691468
xs,1.441158,1.56606,1.483032,7.249638
MEAN,27.17800745,27.40460855,27.23217927,31.86261236
