workload,No prefetcher,Streamer,IP Stride,Next Line
bc,151.3340619,154.5138566,151.499624,180.5610165
bfs,98.33870991,99.23263136,98.29774917,104.2905691
cc,100.8037287,101.563733,100.6009586,104.9885113
dlrm,98.24936725,99.33775078,98.25786781,104.5841158
gc,130.5576634,131.0887415,130.7074447,149.0722514
gen,130.5312929,131.0764928,130.7348407,149.1108096
pr,90.67058097,91.42216214,90.70999565,97.79323184
rnd,16.54420203,16.55105588,16.54840649,72.01774054
sssp,157.3437295,157.6278888,157.3507445,166.5147954
tc,112.7086082,125.5271776,116.1296772,162.0651598
xs,17.92787982,19.48153551,18.4568509,90.67241563
MEAN,100.4554386,102.4930024,100.8449236,125.6064197
