workload,Victima,Trash,Perfect L2 for PTE,Perfect STLB
bc,1.009364886380226,1.0605904101331531,1.3516952745884732,1.5016429036092238
bfs,1.0756519544793803,1.1194316421505586,1.100003228908426,1.174631240964392
cc,1.0593587897329195,1.1000143023415518,1.099185311015659,1.1625482408200725
dlrm,1.0768664840393976,1.1221406922925317,1.1019465281334957,1.176700695052589
gc,1.0208678286803605,1.077632530139395,1.1760077023164424,1.2677381066932165
gen,1.0211503712333145,1.0780977525891566,1.176293503810497,1.2680706459446824
pr,1.0734829226128377,1.107026297444112,1.0907227849395862,1.1476969379927269
rnd,1.0551963889480087,1.4878772720713809,1.3826504004404887,1.4835555427348506
sssp,1.0424032468850906,1.1056706002402412,1.1906135961433315,1.2745150582327358
tc,1.0438057587998026,1.0991112110161725,1.0830844277604332,1.1292958692938981
xs,1.133746744761368,1.2937143773983069,1.2127880798451274,1.3532003550019962
GMEAN,1.0551119696180558,1.1443986256058216,1.1746700600422542,1.2613954998516534
