workload,Victima,TRASH
bc,116.80824947357178,337.49335765838623
bfs,136.91749954223633,438.91250801086426
cc,138.30999946594238,438.6426010131836
dlrm,135.1529998779297,439.2802429199219
gc,118.56799983978271,360.03790187835693
gen,118.57612419128418,360.74628162384033
pr,114.1391248703003,460.214467048645
rnd,228.6803741455078,484.40625
sssp,114.72024917602539,354.4349203109741
tc,113.63699913024902,460.99760150909424
xs,150.0394992828369,451.73172760009766
MEAN,135.04992008209229,416.99071407318115
