workload,stlb.miss,L1-D.loads-page_table,L1-D.load-misses-page_table,L1-D.loads-tlb_entry,L1-D.load-misses-tlb_entry,L1-D.loads-non_page_table,L1-D.load-misses-non_page_table,L2.loads-page_table,L2.load-misses-page_table,L2.loads-tlb_entry,L2.load-misses-tlb_entry,L2.loads-non_page_table,L2.load-misses-non_page_table,pwc_L2.access,pwc_L2.miss,pwc_L3.access,pwc_L3.miss,pwc_L4.access,pwc_L4.miss,PTW_0.page_walks,dram.reads,dram.writes,dram.acceeses
bc,0,0,0,3891861,3891861,109316481,10316801,0,0,3891861,3891861,12097903,9440487,0,0,0,0,0,0,0,20036801,2346,20039147
bfs,0,0,0,21679427,21679427,194611916,73097006,0,0,21679427,21679427,74876258,71806308,0,0,0,0,0,0,0,102947091,56,102947147
cc,0,0,0,25933301,25933301,201034164,88406209,0,0,25933301,25933301,90390943,86841536,0,0,0,0,0,0,0,120628824,68,120628892
dlrm,0,0,0,21679427,21679427,194611916,73097006,0,0,21679427,21679427,74876258,71806307,0,0,0,0,0,0,0,102947106,56,102947162
gc,0,0,0,19074853,19074853,176427350,66318094,0,0,19074853,19074853,67003841,57385882,0,0,0,0,0,0,0,79701179,221,79701400
gen,0,0,0,19074843,19074843,176427350,66318133,0,0,19074843,19074843,67003923,57385966,0,0,0,0,0,0,0,79701443,228,79701671
pr,0,0,0,11056054,11056054,183542072,65260916,0,0,11056054,11056054,66702870,64219326,0,0,0,0,0,0,0,92348781,4110,92352891
rnd,0,0,0,14371750,14371750,76547682,39260444,0,0,14371750,14371750,39302669,37993282,0,0,0,0,0,0,0,52313410,15,52313425
sssp,0,0,0,23630573,23630573,194041546,75910804,0,0,23630573,23630573,76618675,73398355,0,0,0,0,0,0,0,99253605,930,99254535
tc,0,0,0,2585322,2585322,171279939,9728913,0,0,2585322,2585322,12259864,10910651,0,0,0,0,0,0,0,21469919,386,21470305
xs,0,0,0,3092036,3092036,117526877,18319024,0,0,3092036,3092036,19657283,16680508,0,0,0,0,0,0,0,20559104,0,20559104
